pshufd, FUNCTION, (pshufdInstr), SSE/AVX Instruction, SSE
pshufhw, FUNCTION, (pshufhwInstr), SSE/AVX Instruction, SSE
pshuflw, FUNCTION, (pshuflwInstr), SSE/AVX Instruction, SSE
psignb, FUNCTION, (psignbInstr), SSE/AVX Instruction, SSE
psignd, FUNCTION, (psigndInstr), SSE/AVX Instruction, SSE
psignw, FUNCTION, (psignwInstr), SSE/AVX Instruction, SSE
pslld, FUNCTION, (pslldInstr), SSE/AVX Instruction, SSE
pslldq, FUNCTION, (pslldqInstr), SSE/AVX Instruction, SSE
psllq, FUNCTION, (psllqInstr), SSE/AVX Instruction, SSE
psllw, FUNCTION, (psllwInstr), SSE/AVX Instruction, SSE
psrad, FUNCTION, (psradInstr), SSE/AVX Instruction, SSE
psraw, FUNCTION, (psrawInstr), SSE/AVX Instruction, SSE
psrld, FUNCTION, (psrldInstr), SSE/AVX Instruction, SSE
psrldq, FUNCTION, (psrldqInstr), SSE/AVX Instruction, SSE
psrlq, FUNCTION, (psrlqInstr), SSE/AVX Instruction, SSE
psrlw, FUNCTION, (psrlwInstr), SSE/AVX Instruction, SSE
psubb, FUNCTION, (psubbInstr), SSE/AVX Instruction, SSE
psubd, FUNCTION, (psubdInstr), SSE/AVX Instruction, SSE
psubq, FUNCTION, (psubqInstr), SSE/AVX Instruction, SSE
psubsb, FUNCTION, (psubsbInstr), SSE/AVX Instruction, SSE
psubsw, FUNCTION, (psubswInstr), SSE/AVX Instruction, SSE
psubusb, FUNCTION, (psubusbInstr), SSE/AVX Instruction, SSE
psubusw, FUNCTION, (psubuswInstr), SSE/AVX Instruction, SSE
psubw, FUNCTION, (psubwInstr), SSE/AVX Instruction, SSE
ptest, FUNCTION, (ptestInstr), SSE/AVX Instruction, SSE
punpckhbw, FUNCTION, (punpckhbwInstr), SSE/AVX Instruction, SSE
punpckhdq, FUNCTION, (punpckhdqInstr), SSE/AVX Instruction, SSE
punpckhqdq, FUNCTION, (punpckhqdqInstr), SSE/AVX Instruction, SSE
punpckhwd, FUNCTION, (punpckhwdInstr), SSE/AVX Instruction, SSE
punpcklbw, FUNCTION, (punpcklbwInstr), SSE/AVX Instruction, SSE
punpckldq, FUNCTION, (punpckldqInstr), SSE/AVX Instruction, SSE
punpcklqdq, FUNCTION, (punpcklqdqInstr), SSE/AVX Instruction, SSE
punpcklwd, FUNCTION, (punpcklwdInstr), SSE/AVX Instruction, SSE
pxor, FUNCTION, (pxorInstr), SSE/AVX Instruction, SSE
rcpps, FUNCTION, (rcppsInstr), SSE/AVX Instruction, SSE
rcpss, FUNCTION, (rcpssInstr), SSE/AVX Instruction, SSE
roundpd, FUNCTION, (roundpdInstr), SSE/AVX Instruction, SSE
roundps, FUNCTION, (roundpsInstr), SSE/AVX Instruction, SSE
roundsd, FUNCTION, (roundsdInstr), SSE/AVX Instruction, SSE
roundss, FUNCTION, (roundssInstr), SSE/AVX Instruction, SSE
rsqrtps, FUNCTION, (rsqrtpsInstr), SSE/AVX Instruction, SSE
rsqrtss, FUNCTION, (rsqrtssInstr), SSE/AVX Instruction, SSE
sha1msg1, FUNCTION, (sha1msg1Instr), SSE/AVX Instruction, SSE
sha1msg2, FUNCTION, (sha1msg2Instr), SSE/AVX Instruction, SSE
sha1nexte, FUNCTION, (sha1nexteInstr), SSE/AVX Instruction, SSE
sha1rnds4, FUNCTION, (sha1rnds4Instr), SSE/AVX Instruction, SSE
sha256msg1, FUNCTION, (sha256msg1Instr), SSE/AVX Instruction, SSE
sha256msg2, FUNCTION, (sha256msg2Instr), SSE/AVX Instruction, SSE
sha256rnds2, FUNCTION, (sha256rnds2Instr), SSE/AVX Instruction, SSE
shufpd, FUNCTION, (shufpdInstr), SSE/AVX Instruction, SSE
shufps, FUNCTION, (shufpsInstr), SSE/AVX Instruction, SSE
sqrtpd, FUNCTION, (sqrtpdInstr), SSE/AVX Instruction, SSE
sqrtps, FUNCTION, (sqrtpsInstr), SSE/AVX Instruction, SSE
sqrtsd, FUNCTION, (sqrtsdInstr), SSE/AVX Instruction, SSE
sqrtss, FUNCTION, (sqrtssInstr), SSE/AVX Instruction, SSE
stmxcsr, FUNCTION, (stmxcsrInstr), SSE/AVX Instruction, SSE
subpd, FUNCTION, (subpdInstr), SSE/AVX Instruction, SSE
subps, FUNCTION, (subpsInstr), SSE/AVX Instruction, SSE
subsd, FUNCTION, (subsdInstr), SSE/AVX Instruction, SSE
subss, FUNCTION, (subssInstr), SSE/AVX Instruction, SSE
ucomisd, FUNCTION, (ucomisdInstr), SSE/AVX Instruction, SSE
ucomiss, FUNCTION, (ucomissInstr), SSE/AVX Instruction, SSE
unpckhpd, FUNCTION, (unpckhpdInstr), SSE/AVX Instruction, SSE
unpckhps, FUNCTION, (unpckhpsInstr), SSE/AVX Instruction, SSE
unpcklpd, FUNCTION, (unpcklpdInstr), SSE/AVX Instruction, SSE
unpcklps, FUNCTION, (unpcklpsInstr), SSE/AVX Instruction, SSE
vaddpd, FUNCTION, (vaddpdInstr), SSE/AVX Instruction, SSE
vaddps, FUNCTION, (vaddpsInstr), SSE/AVX Instruction, SSE
vaddsd, FUNCTION, (vaddsdInstr), SSE/AVX Instruction, SSE
vaddss, FUNCTION, (vaddssInstr), SSE/AVX Instruction, SSE
vaddsubpd, FUNCTION, (vaddsubpdInstr), SSE/AVX Instruction, SSE
vaddsubps, FUNCTION, (vaddsubpsInstr), SSE/AVX Instruction, SSE
vaesdec, FUNCTION, (vaesdecInstr), SSE/AVX Instruction, SSE
vaesdeclast, FUNCTION, (vaesdeclastInstr), SSE/AVX Instruction, SSE
vaesenc, FUNCTION, (vaesencInstr), SSE/AVX Instruction, SSE
vaesenclast, FUNCTION, (vaesenclastInstr), SSE/AVX Instruction, SSE
vaesimc, FUNCTION, (vaesimcInstr), SSE/AVX Instruction, SSE
vaeskeygenassist, FUNCTION, (vaeskeygenassistInstr), SSE/AVX Instruction, SSE
vandnpd, FUNCTION, (vandnpdInstr), SSE/AVX Instruction, SSE
vandnps, FUNCTION, (vandnpsInstr), SSE/AVX Instruction, SSE
vandpd, FUNCTION, (vandpdInstr), SSE/AVX Instruction, SSE
vandps, FUNCTION, (vandpsInstr), SSE/AVX Instruction, SSE
vblendpd, FUNCTION, (vblendpdInstr), SSE/AVX Instruction, SSE
vblendps, FUNCTION, (vblendpsInstr), SSE/AVX Instruction, SSE
vblendvpd, FUNCTION, (vblendvpdInstr), SSE/AVX Instruction, SSE
vblendvps, FUNCTION, (vblendvpsInstr), SSE/AVX Instruction, SSE
vbroadcastf128, FUNCTION, (vbroadcastf128Instr), SSE/AVX Instruction, SSE
vbroadcasti128, FUNCTION, (vbroadcasti128Instr), SSE/AVX Instruction, SSE
vbroadcastsd, FUNCTION, (vbroadcastsdInstr), SSE/AVX Instruction, SSE
vbroadcastss, FUNCTION, (vbroadcastssInstr), SSE/AVX Instruction, SSE
vcmppd, FUNCTION, (vcmppdInstr), SSE/AVX Instruction, SSE
vcmpps, FUNCTION, (vcmppsInstr), SSE/AVX Instruction, SSE
vcmpsd, FUNCTION, (vcmpsdInstr), SSE/AVX Instruction, SSE
vcmpss, FUNCTION, (vcmpssInstr), SSE/AVX Instruction, SSE
vcomisd, FUNCTION, (vcomisdInstr), SSE/AVX Instruction, SSE
vcomiss, FUNCTION, (vcomissInstr), SSE/AVX Instruction, SSE
vcvtdq2pd, FUNCTION, (vcvtdq2pdInstr), SSE/AVX Instruction, SSE
vcvtdq2ps, FUNCTION, (vcvtdq2psInstr), SSE/AVX Instruction, SSE
vcvtpd2dq, FUNCTION, (vcvtpd2dqInstr), SSE/AVX Instruction, SSE
vcvtpd2ps, FUNCTION, (vcvtpd2psInstr), SSE/AVX Instruction, SSE
vcvtph2ps, FUNCTION, (vcvtph2psInstr), SSE/AVX Instruction, SSE
vcvtps2dq, FUNCTION, (vcvtps2dqInstr), SSE/AVX Instruction, SSE
vcvtps2pd, FUNCTION, (vcvtps2pdInstr), SSE/AVX Instruction, SSE
vcvtps2ph, FUNCTION, (vcvtps2phInstr), SSE/AVX Instruction, SSE
vcvtsd2si, FUNCTION, (vcvtsd2siInstr), SSE/AVX Instruction, SSE
vcvtsd2ss, FUNCTION, (vcvtsd2ssInstr), SSE/AVX Instruction, SSE
vcvtsi2sd, FUNCTION, (vcvtsi2sdInstr), SSE/AVX Instruction, SSE
vcvtsi2ss, FUNCTION, (vcvtsi2ssInstr), SSE/AVX Instruction, SSE
vcvtss2sd, FUNCTION, (vcvtss2sdInstr), SSE/AVX Instruction, SSE
vcvtss2si, FUNCTION, (vcvtss2siInstr), SSE/AVX Instruction, SSE
vcvttpd2dq, FUNCTION, (vcvttpd2dqInstr), SSE/AVX Instruction, SSE
vcvttps2dq, FUNCTION, (vcvttps2dqInstr), SSE/AVX Instruction, SSE
vcvttsd2si, FUNCTION, (vcvttsd2siInstr), SSE/AVX Instruction, SSE
vcvttss2si, FUNCTION, (vcvttss2siInstr), SSE/AVX Instruction, SSE
vdivpd, FUNCTION, (vdivpdInstr), SSE/AVX Instruction, SSE
vdivps, FUNCTION, (vdivpsInstr), SSE/AVX Instruction, SSE
vdivsd, FUNCTION, (vdivsdInstr), SSE/AVX Instruction, SSE
vdivss, FUNCTION, (vdivssInstr), SSE/AVX Instruction, SSE
vdppd, FUNCTION, (vdppdInstr), SSE/AVX Instruction, SSE
vdpps, FUNCTION, (vdppsInstr), SSE/AVX Instruction, SSE
vextractf128, FUNCTION, (vextractf128Instr), SSE/AVX Instruction, SSE
vextracti128, FUNCTION, (vextracti128Instr), SSE/AVX Instruction, SSE
vextractps, FUNCTION, (vextractpsInstr), SSE/AVX Instruction, SSE
vfmadd132pd, FUNCTION, (vfmadd132pdInstr), SSE/AVX Instruction, SSE
vfmadd132ps, FUNCTION, (vfmadd132psInstr), SSE/AVX Instruction, SSE
vfmadd132sd, FUNCTION, (vfmadd132sdInstr), SSE/AVX Instruction, SSE
vfmadd132ss, FUNCTION, (vfmadd132ssInstr), SSE/AVX Instruction, SSE
vfmadd213pd, FUNCTION, (vfmadd213pdInstr), SSE/AVX Instruction, SSE
vfmadd213ps, FUNCTION, (vfmadd213psInstr), SSE/AVX Instruction, SSE
vfmadd213sd, FUNCTION, (vfmadd213sdInstr), SSE/AVX Instruction, SSE
vfmadd213ss, FUNCTION, (vfmadd213ssInstr), SSE/AVX Instruction, SSE
vfmadd231pd, FUNCTION, (vfmadd231pdInstr), SSE/AVX Instruction, SSE
vfmadd231ps, FUNCTION, (vfmadd231psInstr), SSE/AVX Instruction, SSE
vfmadd231sd, FUNCTION, (vfmadd231sdInstr), SSE/AVX Instruction, SSE
vfmadd231ss, FUNCTION, (vfmadd231ssInstr), SSE/AVX Instruction, SSE
vfmaddpd, FUNCTION, (vfmaddpdInstr), SSE/AVX Instruction, SSE
vfmaddps, FUNCTION, (vfmaddpsInstr), SSE/AVX Instruction, SSE
vfmaddsd, FUNCTION, (vfmaddsdInstr), SSE/AVX Instruction, SSE
vfmaddss, FUNCTION, (vfmaddssInstr), SSE/AVX Instruction, SSE
vfmaddsub132pd, FUNCTION, (vfmaddsub132pdInstr), SSE/AVX Instruction, SSE
vfmaddsub132ps, FUNCTION, (vfmaddsub132psInstr), SSE/AVX Instruction, SSE
vfmaddsub213pd, FUNCTION, (vfmaddsub213pdInstr), SSE/AVX Instruction, SSE
